assetPk,assetId,assetName,isLocation,type,classificationName,manufacturerName,model,serial,priority,riskLevel,lastMaintainedWopk,parentPk,parentName
7294,100-AERATOR-8,AERATOR 6-1 (10 Million Gallon Pond),false,A,AERATOR,,,,,,1680577,22222,"POND #6, 10MM Gallon"
7295,100-200U-COOK-LINE,*Trash* 200U Cook Line,true,L,Area,,,,,,255994,7852,Obsolete Assets - Do not use
7296,100-1800 Cookline,*Trash* 1800 Cook Line,true,L,Area,,,,,,291317,7852,Obsolete Assets - Do not use
7298,100-JACKSON-RNDRNG-1,*Trash* Boiler Room 1-6,true,L,Area,,,,,,300815,7852,Obsolete Assets - Do not use
7301,100-CLNG-TWR,*Trash* Cooling Tower Area,true,L,Area,,,,,,489500,7852,Obsolete Assets - Do not use
7302,100-DAF-AREA,*Trash* DAF Area,true,L,Area,,,,,,480290,7852,Obsolete Assets - Do not use
7303,100-JACKSON-RNDRNG,Jackson Rendering,true,L,PLANT,,,,,,1682328,,
7304,100-EVAPAREA,*Trash* Evaporator Area,true,L,Area,,,,,,159898,7852,Obsolete Assets - Do not use
7305,100-FAN-15,"FAN, Feather Air-Cooled condenser, fan 1",false,A,Fan,,,,,,1679471,16286,Feather Plant
7306,100-FAN-16,"FAN, Feather Air-Cooled condenser, fan 2",false,A,Fan,,,,,,1679471,16286,Feather Plant
7307,100-FAN-71,"Fan, EVAPORATOR VENTURI",false,A,Fan,,,,,,291671,7852,Obsolete Assets - Do not use
7308,100-FAN-8,"FAN, Plant Packed Tower",false,A,Fan,,,,,,1679471,8680,"SCRUBBER, Main Packed Tower"
7309,100-PROCESS LINE-05,FEATHER PROCESSING,true,L,Process Line,,,,,,1678609,14953,PRODUCTION
7310,100-FEATHER-PLANT-001-,*Trash* Feather Scrubber Area,true,L,Area,,,,,,,10437,"*Trash* Feather Dryer, Hydrolizer & Scrubber"
7314,100-HAMMER MILL-00513,"HAMMER MILL, Poultry Grinding A-side",false,A,HAMMER MILL,,,,,,1679379,14937,PP A-Side Grinding
7315,100-HOPPER-3,del Raw Material Incline Screw N4300,false,A,HOPPER,,,,,,1676942,7852,Obsolete Assets - Do not use
7317,100-HOPPER-00522,Hopper Bin#3,false,A,HOPPER,,,,,,47197,7852,Obsolete Assets - Do not use
7318,100-IRRIGTN,*Trash* Land Application System,true,L,Area,,,,,,,7852,Obsolete Assets - Do not use
7319,100-LAGOON,*Trash* Waste Water Treatment System,true,L,Area,,,,,,151371,7852,Obsolete Assets - Do not use
7320,100-LOADOUT-AREA,*Trash* Load Out,true,L,Area,,,,,,292593,7852,Obsolete Assets - Do not use
7321,100-MIXER-1,"MIXER, Irrigation",false,A,MIXER,,,,,,,22222,"POND #6, 10MM Gallon"
7322,100-HYDRAULIC UNIT-3,"HYDRAULIC UNIT, Press Choke 1800",false,A,HYDRAULIC UNIT,,Dupro Hydraulic,,,,1679379,14951,1800 Cook Line Pressing
7328,100-PUMP-79,"PUMP, Skimmer Discharge",false,A,PUMP,,,,,,1680602,14977,SKIMMER
7329,100-ROTOLIFT-3,"ROTOLIFT, Feather Mill Discharge",false,A,ROTOLIFT,,,,,,1678609,14959,Fthr Grinding
7331,100-ROTOLOCK-00507,"Rotolock, Rotary Valve A",false,A,ROTOLOCK,,73055-3,,,,1679379,14937,PP A-Side Grinding
7332,100-RTO-AREA,*Trash* RTO Area,true,L,Area,,,,,,52095,7852,Obsolete Assets - Do not use
7334,100-SCREW CONVEYOR-52,"SCREW CONVEYOR, Direct Loadout (A System)",false,A,SCREW CONVEYOR,,,,,,1679379,14937,PP A-Side Grinding
7337,100-SCREW CONVEYOR-00509,SCREW CONVEYOR. Screen Finished A-side,false,A,SCREW CONVEYOR,,,,,,1679379,14937,PP A-Side Grinding
7338,100-SCREW CONVEYOR-00023,"SCREW CONVEYOR, Cooker Discharge #1 200U",false,A,SCREW CONVEYOR,,9,,,,1677943,14942,200U Cooking
7340,100-AERATOR-9,Aerator Tornado #1 Pond 6,false,A,AERATOR,"Aeromix Systems, Inc.",CLASS I TORNADO ASPIRATING AERATOR,,,,,7852,Obsolete Assets - Do not use
